date,ticker,sentiment,impact,impact_num,text_length,avg_tfidf,embedding_mean,momentum,daily_return,volatility,target_return
2025-03-17,TXN,0.8,positive,1,214,0.0472358618794389,-0.00089770276,-0.046520335651703826,-0.0069736853690277574,0.04714568761923324,0.02208971751745316
2025-03-17,TSM,0.8,positive,1,214,0.0472358618794389,-0.00089770276,-0.029376620797344148,-0.005133289391010064,0.03980959866476435,0.013164751854541603
2025-03-17,UMC,0.8,positive,1,214,0.0472358618794389,-0.00089770276,0.006300074815638586,0.0014303922613026162,0.036023883227197705,0.012084580829157887
2025-03-17,ASML,0.8,positive,1,214,0.0472358618794389,-0.00089770276,-0.022984450931036376,-0.004472918844818421,0.039420244234495985,0.01710191421995488
2025-03-17,STM,0.8,positive,1,214,0.0472358618794389,-0.00089770276,-0.04692939078395466,-0.007519934232601292,0.058077709272119776,0.026699023695180926
2025-03-17,NVDA,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.018445987958827424,-0.005800635943681458,0.05047057123916681,-0.026152836404930165
2025-03-17,AMD,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.02948299951071187,-0.005647586740512176,0.062025872724809174,0.019395690968469853
2025-03-17,AMAT,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.0178589885991235,-0.0037886777625424396,0.04476136902128758,0.016410655872548856
2025-03-17,AVGO,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.015179982905116551,-0.003838167240272256,0.05166741886866575,0.03429937167545227
2025-03-17,INTC,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.057675751488098254,-0.01169419243255903,0.05169768758835339,0.0520065705895121
2025-03-17,KLAC,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.017171108451133642,-0.0037507152277256877,0.04797740957369003,0.01778273580444396
2025-03-17,LRCX,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.034537680032140076,-0.007006178114303671,0.051454229505662745,0.01556214419327984
2025-03-17,MCHP,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.07619023841037693,-0.012496869348282086,0.07612273287828127,0.03020132271286708
2025-03-17,MU,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.08672847241090338,-0.015435101786504235,0.0645758038024467,0.02028500990779494
2025-03-17,NXPI,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.04464388894106503,-0.006852809861139879,0.05978705619722948,0.024260476451702023
2025-03-17,QCOM,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.03050850840201842,-0.004906614374548839,0.0430498129551184,0.015102768332561568
2025-03-17,SWKS,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.04703586052406813,-0.007873175635707243,0.05909444678362891,0.01612442789151146
2025-03-17,ADI,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.03721421642314058,-0.0064342345184986785,0.05040725080042123,0.018916932254061374
2025-03-17,ON,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.05184929700865431,-0.008769688485542822,0.06355704554524981,0.0229911247607066
2025-03-17,TER,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.04770608939440607,-0.00861252216985563,0.052782828849918376,0.034652858177743606
2025-03-17,TXN,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.046520335651703826,-0.0069736853690277574,0.04714568761923324,0.02208971751745316
2025-03-17,TSM,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.029376620797344148,-0.005133289391010064,0.03980959866476435,0.013164751854541603
2025-03-17,UMC,0.7,positive,1,214,0.0502571300498876,0.00032774682,0.006300074815638586,0.0014303922613026162,0.036023883227197705,0.012084580829157887
2025-03-17,ASML,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.022984450931036376,-0.004472918844818421,0.039420244234495985,0.01710191421995488
2025-03-17,STM,0.7,positive,1,214,0.0502571300498876,0.00032774682,-0.04692939078395466,-0.007519934232601292,0.058077709272119776,0.026699023695180926
2025-03-17,NVDA,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.018445987958827424,-0.005800635943681458,0.05047057123916681,-0.026152836404930165
2025-03-17,AMD,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.02948299951071187,-0.005647586740512176,0.062025872724809174,0.019395690968469853
2025-03-17,AMAT,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.0178589885991235,-0.0037886777625424396,0.04476136902128758,0.016410655872548856
2025-03-17,AVGO,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.015179982905116551,-0.003838167240272256,0.05166741886866575,0.03429937167545227
2025-03-17,INTC,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.057675751488098254,-0.01169419243255903,0.05169768758835339,0.0520065705895121
2025-03-17,KLAC,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.017171108451133642,-0.0037507152277256877,0.04797740957369003,0.01778273580444396
2025-03-17,LRCX,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.034537680032140076,-0.007006178114303671,0.051454229505662745,0.01556214419327984
2025-03-17,MCHP,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.07619023841037693,-0.012496869348282086,0.07612273287828127,0.03020132271286708
2025-03-17,MU,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.08672847241090338,-0.015435101786504235,0.0645758038024467,0.02028500990779494
2025-03-17,NXPI,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.04464388894106503,-0.006852809861139879,0.05978705619722948,0.024260476451702023
2025-03-17,QCOM,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.03050850840201842,-0.004906614374548839,0.0430498129551184,0.015102768332561568
2025-03-17,SWKS,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.04703586052406813,-0.007873175635707243,0.05909444678362891,0.01612442789151146
2025-03-17,ADI,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.03721421642314058,-0.0064342345184986785,0.05040725080042123,0.018916932254061374
2025-03-17,ON,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.05184929700865431,-0.008769688485542822,0.06355704554524981,0.0229911247607066
2025-03-17,TER,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.04770608939440607,-0.00861252216985563,0.052782828849918376,0.034652858177743606
2025-03-17,TXN,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.046520335651703826,-0.0069736853690277574,0.04714568761923324,0.02208971751745316
2025-03-17,TSM,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.029376620797344148,-0.005133289391010064,0.03980959866476435,0.013164751854541603
2025-03-17,UMC,0.8,positive,1,214,0.0585451469334132,-0.00044041395,0.006300074815638586,0.0014303922613026162,0.036023883227197705,0.012084580829157887
2025-03-17,ASML,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.022984450931036376,-0.004472918844818421,0.039420244234495985,0.01710191421995488
2025-03-17,STM,0.8,positive,1,214,0.0585451469334132,-0.00044041395,-0.04692939078395466,-0.007519934232601292,0.058077709272119776,0.026699023695180926
2025-03-17,NVDA,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.018445987958827424,-0.005800635943681458,0.05047057123916681,-0.026152836404930165
2025-03-17,AMD,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.02948299951071187,-0.005647586740512176,0.062025872724809174,0.019395690968469853
2025-03-17,AMAT,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.0178589885991235,-0.0037886777625424396,0.04476136902128758,0.016410655872548856
2025-03-17,AVGO,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.015179982905116551,-0.003838167240272256,0.05166741886866575,0.03429937167545227
2025-03-17,INTC,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.057675751488098254,-0.01169419243255903,0.05169768758835339,0.0520065705895121
2025-03-17,KLAC,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.017171108451133642,-0.0037507152277256877,0.04797740957369003,0.01778273580444396
2025-03-17,LRCX,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.034537680032140076,-0.007006178114303671,0.051454229505662745,0.01556214419327984
2025-03-17,MCHP,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.07619023841037693,-0.012496869348282086,0.07612273287828127,0.03020132271286708
2025-03-17,MU,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.08672847241090338,-0.015435101786504235,0.0645758038024467,0.02028500990779494
2025-03-17,NXPI,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.04464388894106503,-0.006852809861139879,0.05978705619722948,0.024260476451702023
2025-03-17,QCOM,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.03050850840201842,-0.004906614374548839,0.0430498129551184,0.015102768332561568
2025-03-17,SWKS,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.04703586052406813,-0.007873175635707243,0.05909444678362891,0.01612442789151146
2025-03-17,ADI,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.03721421642314058,-0.0064342345184986785,0.05040725080042123,0.018916932254061374
2025-03-17,ON,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.05184929700865431,-0.008769688485542822,0.06355704554524981,0.0229911247607066
2025-03-17,TER,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.04770608939440607,-0.00861252216985563,0.052782828849918376,0.034652858177743606
2025-03-17,TXN,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.046520335651703826,-0.0069736853690277574,0.04714568761923324,0.02208971751745316
2025-03-17,TSM,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.029376620797344148,-0.005133289391010064,0.03980959866476435,0.013164751854541603
2025-03-17,UMC,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,0.006300074815638586,0.0014303922613026162,0.036023883227197705,0.012084580829157887
2025-03-17,ASML,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.022984450931036376,-0.004472918844818421,0.039420244234495985,0.01710191421995488
2025-03-17,STM,0.3,negative,-1,214,0.0514939988524608,-0.00036564132,-0.04692939078395466,-0.007519934232601292,0.058077709272119776,0.026699023695180926
2025-03-17,NVDA,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.018445987958827424,-0.005800635943681458,0.05047057123916681,-0.026152836404930165
2025-03-17,AMD,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.02948299951071187,-0.005647586740512176,0.062025872724809174,0.019395690968469853
2025-03-17,AMAT,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.0178589885991235,-0.0037886777625424396,0.04476136902128758,0.016410655872548856
2025-03-17,AVGO,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.015179982905116551,-0.003838167240272256,0.05166741886866575,0.03429937167545227
2025-03-17,INTC,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.057675751488098254,-0.01169419243255903,0.05169768758835339,0.0520065705895121
2025-03-17,KLAC,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.017171108451133642,-0.0037507152277256877,0.04797740957369003,0.01778273580444396
2025-03-17,LRCX,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.034537680032140076,-0.007006178114303671,0.051454229505662745,0.01556214419327984
2025-03-17,MCHP,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.07619023841037693,-0.012496869348282086,0.07612273287828127,0.03020132271286708
2025-03-17,MU,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.08672847241090338,-0.015435101786504235,0.0645758038024467,0.02028500990779494
2025-03-17,NXPI,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.04464388894106503,-0.006852809861139879,0.05978705619722948,0.024260476451702023
2025-03-17,QCOM,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.03050850840201842,-0.004906614374548839,0.0430498129551184,0.015102768332561568
2025-03-17,SWKS,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.04703586052406813,-0.007873175635707243,0.05909444678362891,0.01612442789151146
2025-03-17,ADI,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.03721421642314058,-0.0064342345184986785,0.05040725080042123,0.018916932254061374
2025-03-17,ON,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.05184929700865431,-0.008769688485542822,0.06355704554524981,0.0229911247607066
2025-03-17,TER,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.04770608939440607,-0.00861252216985563,0.052782828849918376,0.034652858177743606
2025-03-17,TXN,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.046520335651703826,-0.0069736853690277574,0.04714568761923324,0.02208971751745316
2025-03-17,TSM,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.029376620797344148,-0.005133289391010064,0.03980959866476435,0.013164751854541603
2025-03-17,UMC,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,0.006300074815638586,0.0014303922613026162,0.036023883227197705,0.012084580829157887
2025-03-17,ASML,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.022984450931036376,-0.004472918844818421,0.039420244234495985,0.01710191421995488
2025-03-17,STM,0.2,negative,-1,215,0.0416124561923233,-0.0011047277,-0.04692939078395466,-0.007519934232601292,0.058077709272119776,0.026699023695180926
2025-03-17,NVDA,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.018445987958827424,-0.005800635943681458,0.05047057123916681,-0.026152836404930165
2025-03-17,AMD,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.02948299951071187,-0.005647586740512176,0.062025872724809174,0.019395690968469853
2025-03-17,AMAT,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.0178589885991235,-0.0037886777625424396,0.04476136902128758,0.016410655872548856
2025-03-17,AVGO,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.015179982905116551,-0.003838167240272256,0.05166741886866575,0.03429937167545227
2025-03-17,INTC,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.057675751488098254,-0.01169419243255903,0.05169768758835339,0.0520065705895121
2025-03-17,KLAC,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.017171108451133642,-0.0037507152277256877,0.04797740957369003,0.01778273580444396
2025-03-17,LRCX,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.034537680032140076,-0.007006178114303671,0.051454229505662745,0.01556214419327984
2025-03-17,MCHP,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.07619023841037693,-0.012496869348282086,0.07612273287828127,0.03020132271286708
2025-03-17,MU,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.08672847241090338,-0.015435101786504235,0.0645758038024467,0.02028500990779494
2025-03-17,NXPI,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.04464388894106503,-0.006852809861139879,0.05978705619722948,0.024260476451702023
2025-03-17,QCOM,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.03050850840201842,-0.004906614374548839,0.0430498129551184,0.015102768332561568
2025-03-17,SWKS,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.04703586052406813,-0.007873175635707243,0.05909444678362891,0.01612442789151146
2025-03-17,ADI,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.03721421642314058,-0.0064342345184986785,0.05040725080042123,0.018916932254061374
2025-03-17,ON,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.05184929700865431,-0.008769688485542822,0.06355704554524981,0.0229911247607066
2025-03-17,TER,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.04770608939440607,-0.00861252216985563,0.052782828849918376,0.034652858177743606
2025-03-17,TXN,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.046520335651703826,-0.0069736853690277574,0.04714568761923324,0.02208971751745316
2025-03-17,TSM,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.029376620797344148,-0.005133289391010064,0.03980959866476435,0.013164751854541603
2025-03-17,UMC,0.9,positive,1,214,0.0474024504263462,0.00061263173,0.006300074815638586,0.0014303922613026162,0.036023883227197705,0.012084580829157887
2025-03-17,ASML,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.022984450931036376,-0.004472918844818421,0.039420244234495985,0.01710191421995488
2025-03-17,STM,0.9,positive,1,214,0.0474024504263462,0.00061263173,-0.04692939078395466,-0.007519934232601292,0.058077709272119776,0.026699023695180926
2025-03-17,NVDA,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.018445987958827424,-0.005800635943681458,0.05047057123916681,-0.026152836404930165
2025-03-17,AMD,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.02948299951071187,-0.005647586740512176,0.062025872724809174,0.019395690968469853
2025-03-17,AMAT,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.0178589885991235,-0.0037886777625424396,0.04476136902128758,0.016410655872548856
2025-03-17,AVGO,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.015179982905116551,-0.003838167240272256,0.05166741886866575,0.03429937167545227
2025-03-17,INTC,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.057675751488098254,-0.01169419243255903,0.05169768758835339,0.0520065705895121
2025-03-17,KLAC,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.017171108451133642,-0.0037507152277256877,0.04797740957369003,0.01778273580444396
2025-03-17,LRCX,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.034537680032140076,-0.007006178114303671,0.051454229505662745,0.01556214419327984
2025-03-17,MCHP,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.07619023841037693,-0.012496869348282086,0.07612273287828127,0.03020132271286708
2025-03-17,MU,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.08672847241090338,-0.015435101786504235,0.0645758038024467,0.02028500990779494
2025-03-17,NXPI,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.04464388894106503,-0.006852809861139879,0.05978705619722948,0.024260476451702023
2025-03-17,QCOM,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.03050850840201842,-0.004906614374548839,0.0430498129551184,0.015102768332561568
2025-03-17,SWKS,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.04703586052406813,-0.007873175635707243,0.05909444678362891,0.01612442789151146
2025-03-17,ADI,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.03721421642314058,-0.0064342345184986785,0.05040725080042123,0.018916932254061374
2025-03-17,ON,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.05184929700865431,-0.008769688485542822,0.06355704554524981,0.0229911247607066
2025-03-17,TER,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.04770608939440607,-0.00861252216985563,0.052782828849918376,0.034652858177743606
2025-03-17,TXN,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.046520335651703826,-0.0069736853690277574,0.04714568761923324,0.02208971751745316
2025-03-17,TSM,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.029376620797344148,-0.005133289391010064,0.03980959866476435,0.013164751854541603
2025-03-17,UMC,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,0.006300074815638586,0.0014303922613026162,0.036023883227197705,0.012084580829157887
2025-03-17,ASML,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.022984450931036376,-0.004472918844818421,0.039420244234495985,0.01710191421995488
2025-03-17,STM,0.3,negative,-1,214,0.0649494516616783,-0.0011030381,-0.04692939078395466,-0.007519934232601292,0.058077709272119776,0.026699023695180926
2025-03-17,NVDA,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.018445987958827424,-0.005800635943681458,0.05047057123916681,-0.026152836404930165
2025-03-17,AMD,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.02948299951071187,-0.005647586740512176,0.062025872724809174,0.019395690968469853
2025-03-17,AMAT,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.0178589885991235,-0.0037886777625424396,0.04476136902128758,0.016410655872548856
2025-03-17,AVGO,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.015179982905116551,-0.003838167240272256,0.05166741886866575,0.03429937167545227
2025-03-17,INTC,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.057675751488098254,-0.01169419243255903,0.05169768758835339,0.0520065705895121
2025-03-17,KLAC,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.017171108451133642,-0.0037507152277256877,0.04797740957369003,0.01778273580444396
2025-03-17,LRCX,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.034537680032140076,-0.007006178114303671,0.051454229505662745,0.01556214419327984
2025-03-17,MCHP,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.07619023841037693,-0.012496869348282086,0.07612273287828127,0.03020132271286708
2025-03-17,MU,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.08672847241090338,-0.015435101786504235,0.0645758038024467,0.02028500990779494
2025-03-17,NXPI,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.04464388894106503,-0.006852809861139879,0.05978705619722948,0.024260476451702023
2025-03-17,QCOM,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.03050850840201842,-0.004906614374548839,0.0430498129551184,0.015102768332561568
2025-03-17,SWKS,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.04703586052406813,-0.007873175635707243,0.05909444678362891,0.01612442789151146
2025-03-17,ADI,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.03721421642314058,-0.0064342345184986785,0.05040725080042123,0.018916932254061374
2025-03-17,ON,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.05184929700865431,-0.008769688485542822,0.06355704554524981,0.0229911247607066
2025-03-17,TER,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.04770608939440607,-0.00861252216985563,0.052782828849918376,0.034652858177743606
2025-03-17,TXN,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.046520335651703826,-0.0069736853690277574,0.04714568761923324,0.02208971751745316
2025-03-17,TSM,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,-0.029376620797344148,-0.005133289391010064,0.03980959866476435,0.013164751854541603
2025-03-17,UMC,0.8,positive,1,214,0.0601850212958937,-9.3679024e-05,0.006300074815638586,0.0014303922613026162,0.036023883227197705,0.012084580829157887
